annee	continent	code	pays	hommes	hommes_fr	homme_extra	femmes	femmes_fr	femmes_extra
2007	Asie	IND	Indien	112	91	21	67	44	23
2007	Asie	IRN	Iranien	42	26	16	48	38	10
2007	Asie	ISR	Israëlien	41	39	2	36	31	5
2007	Asie	JPN	Japonais	32	21	11	343	322	21
2007	Asie	LAO	Laotien	46	22	24	79	56	23
2007	Asie	LBN	Libanais	168	104	64	145	106	39
2007	Asie	SYR	Syrien	53	43	10	23	17	6
2007	Asie	TUR	Turc	1306	779	527	650	175	475
2007	Asie	VNM	Vietnamien	94	44	50	300	252	48
2007	Asie	IRQ	Irakien	21	13	8	12	9	3
2007	Asie	PAK	Pakistanais	105	73	32	19	3	16
2007	Asie	Asie	Autres nationalités d'Asie (sauf Russes)	510	162	348	1169	809	360
2007	Asie	RUS	Russe	117	36	81	995	880	115
2007	Oceanie	AUS	Australien	70	56	14	64	50	14
2007	Oceanie	Oceanie	Autres nationalités d'Océanie	21	19	2	17	13	4
2007	Autres	???	Nationalité étrangère inconnue	54	38	16	47	32	15
2008	Europe	DEU	Allemand	474	343	131	556	423	133
2008	Europe	AUT	Autrichien	32	22	10	34	26	8
2008	Europe	BEL	Belge	635	463	172	602	440	162
2008	Europe	BGR	Bulgare	34	12	22	109	73	36
2008	Europe	CYP	Chypriote	1	1	0	1	0	1
2008	Europe	DNK	Danois	21	12	9	26	17	9
2008	Europe	ESP	Espagnol	395	322	73	343	287	56
2008	Europe	EST	Estonien	0	0	0	16	9	7
2008	Europe	FIN	Finlandais	4	3	1	17	14	3
2008	Europe	GRC	Grec	22	17	5	40	31	9
2008	Europe	HUN	Hongrois	14	9	5	49	42	7
2008	Europe	IRL	Irlandais	98	73	25	85	54	31
2008	Europe	ITA	Italien	614	499	115	376	298	78
2008	Europe	LVA	Letton	3	2	1	19	17	2
2008	Europe	LTU	Lituanien	9	4	5	40	33	7
2008	Europe	LUX	Luxembourgeois	26	21	5	24	18	6
2008	Europe	MLT	Maltais	1	0	1	4	2	2
2008	Europe	NOR	Norvégien	18	12	6	13	11	2
2008	Europe	NLD	Néerlandais Hollandais	209	107	102	229	125	104
2008	Europe	POL	Polonais	107	46	61	496	395	101
2008	Europe	PRT	Portugais	1490	1113	377	849	536	313
2008	Europe	ROU	Roumain	197	53	144	464	306	158
2008	Europe	GBR	Britannique	956	567	389	645	285	360
2008	Europe	SVK	Slovaque	21	13	8	52	42	10
2008	Europe	SVN	Slovène	3	1	2	10	9	1
2008	Europe	SWE	Suédois	41	29	12	71	47	24
2008	Europe	CHE	Suisse	151	120	31	183	147	36
2008	Europe	ISL	Islandais	1	1	0	2	2	0
2008	Europe	CZE+SVK	Tchécoslovaque	0	0	0	4	1	3
2008	Europe	CZE	Tchèque	6	4	2	44	33	11
2008	Europe	YUG	Yougoslave	59	24	35	69	34	35
2008	Europe	Europe	Autres nationalités d'Europe (sauf Russes)	487	247	240	881	626	255
2008	Afrique	DZA	Algérien	4630	3674	956	2335	1435	900
2008	Afrique	CMR	Camerounais	446	273	173	673	492	181
2008	Afrique	CAF	Centrafricain	87	65	22	66	43	23
2008	Afrique	COG	Congolais	696	293	403	622	234	388
2008	Afrique	CIV	Ivoirien	456	275	181	545	354	191
2008	Afrique	BEN	Béninois	128	99	29	75	41	34
2008	Afrique	GAB	Gabonais	83	52	31	176	145	31
2008	Afrique	GIN	Guinéen	190	115	75	124	52	72
2008	Afrique	BFA	Burkinabé	35	31	4	52	46	6
2008	Afrique	MDG	Malgache	146	73	73	383	306	77
2008	Afrique	MLI	Malien	293	233	60	137	69	68
2008	Afrique	MAR	Marocain	3891	3091	800	2632	1730	902
2008	Afrique	MRT	Mauritanien	62	47	15	24	11	13
2008	Afrique	NER	Nigérien	38	21	17	34	23	11
2008	Afrique	EGY	Egyptien	200	122	78	20	4	16
2008	Afrique	SEN	Sénégalais	483	355	128	332	210	122
2008	Afrique	TCD	Tchadien	17	14	3	18	15	3
2008	Afrique	TGO	Togolais	91	61	30	93	69	24
2008	Afrique	TUN	Tunisien	1838	1570	268	472	276	196
2008	Afrique	COM	Comorien	133	103	30	105	74	31
2008	Afrique	SOM	Somalien	1	0	1	3	1	2
2008	Afrique	MUS	Mauricien	92	73	19	208	188	20
2008	Afrique	NGA	Nigérian	61	25	36	34	16	18
2008	Afrique	COD	Zaïrois	32	13	19	32	6	26
2008	Afrique	Afrique	Autres nationalités d'Afrique	326	133	193	359	172	187
2008	Amerique	CAN	Canadien	127	93	34	215	176	39
2008	Amerique	USA	Américain	192	157	35	339	294	45
2008	Amerique	HTI	Haïtien	419	196	223	418	194	224
2008	Amerique	MEX	Mexicain	61	59	2	198	187	11
2008	Amerique	ARG	Argentin	52	46	6	72	67	5
2008	Amerique	BRA	Brésilien	192	129	63	733	587	146
2008	Amerique	CHL	Chilien	62	48	14	67	52	15
2008	Amerique	COL	Colombien	92	43	49	202	151	51
2008	Amerique	VEN	Vénézuélien	18	12	6	60	53	7
2008	Amerique	Amerique	Autres nationalités d'Amérique	193	132	61	484	401	83
2008	Asie	ARM	Arménien	74	25	49	94	50	44
2008	Asie	KHM	Cambodgien	56	35	21	163	137	26
2008	Asie	CHN	Chinois	501	71	430	1266	811	455
2008	Asie	IND	Indien	85	65	20	35	24	11
2008	Asie	IRN	Iranien	50	28	22	60	43	17
2008	Asie	ISR	Israëlien	44	42	2	26	23	3
2008	Asie	JPN	Japonais	30	18	12	353	327	26
2008	Asie	LAO	Laotien	39	23	16	60	50	10
2008	Asie	LBN	Libanais	160	92	68	166	120	46
2008	Asie	SYR	Syrien	40	28	12	24	16	8
2008	Asie	TUR	Turc	1178	645	533	670	186	484
2008	Asie	VNM	Vietnamien	88	44	44	254	210	44
2008	Asie	IRQ	Irakien	12	7	5	10	4	6
2008	Asie	PAK	Pakistanais	85	65	20	18	12	6
2008	Asie	Asie	Autres nationalités d'Asie (sauf Russes)	478	159	319	1158	830	328
2008	Asie	RUS	Russe	109	36	73	948	828	120
2008	Oceanie	AUS	Australien	64	53	11	57	47	10
2008	Oceanie	Oceanie	Autres nationalités d'Océanie	21	16	5	19	15	4
2008	Autres	???	Nationalité étrangère inconnue	12	12	0	16	14	2
2009	Europe	DEU	Allemand	444	317	127	569	415	154
2009	Europe	AUT	Autrichien	19	13	6	32	30	2
2009	Europe	BEL	Belge	607	426	181	589	420	169
2009	Europe	BGR	Bulgare	43	14	29	118	83	35
2009	Europe	CYP	Chypriote	3	2	1	3	1	2
2009	Europe	DNK	Danois	24	18	6	28	22	6
2009	Europe	ESP	Espagnol	338	267	71	296	250	46
2009	Europe	EST	Estonien	0	0	0	9	9	0
2009	Europe	FIN	Finlandais	11	10	1	22	20	2
2009	Europe	GRC	Grec	21	18	3	36	29	7
2009	Europe	HUN	Hongrois	18	13	5	41	37	4
2009	Europe	IRL	Irlandais	82	63	19	70	51	19
2009	Europe	ITA	Italien	600	464	136	347	254	93
2009	Europe	LVA	Letton	4	2	2	23	17	6
2009	Europe	LTU	Lituanien	6	0	6	33	24	9
2009	Europe	LUX	Luxembourgeois	17	16	1	16	14	2
2009	Europe	MLT	Maltais	2	1	1	2	1	1
2009	Europe	NOR	Norvégien	18	15	3	18	14	4
2009	Europe	NLD	Néerlandais Hollandais	225	115	110	188	92	96
2009	Europe	POL	Polonais	88	41	47	350	264	86
2009	Europe	PRT	Portugais	1474	1015	459	853	492	361
2009	Europe	ROU	Roumain	229	58	171	490	293	197
2009	Europe	GBR	Britannique	814	483	331	625	319	306
2009	Europe	SVK	Slovaque	7	3	4	36	30	6
2009	Europe	SVN	Slovène	4	2	2	2	1	1
2009	Europe	SWE	Suédois	28	21	7	64	48	16
2009	Europe	CHE	Suisse	150	103	47	204	165	39
2009	Europe	ISL	Islandais	1	1	0	2	2	0
2009	Europe	CZE+SVK	Tchécoslovaque	0	0	0	0	0	0
2009	Europe	CZE	Tchèque	32	22	10	11	7	4
2009	Europe	YUG	Yougoslave	62	23	39	40	10	30
2009	Europe	Europe	Autres nationalités d'Europe (sauf Russes)	484	203	281	860	561	299
2009	Afrique	DZA	Algérien	4324	3357	967	2229	1313	916
2009	Afrique	CMR	Camerounais	409	241	168	660	472	188
2009	Afrique	CAF	Centrafricain	73	45	28	70	47	23
2009	Afrique	COG	Congolais	575	239	336	543	204	339
2009	Afrique	CIV	Ivoirien	443	269	174	506	327	179
2009	Afrique	BEN	Béninois	129	94	35	80	48	32
2009	Afrique	GAB	Gabonais	86	52	34	157	127	30
2009	Afrique	GIN	Guinéen	158	93	65	118	44	74
2009	Afrique	BFA	Burkinabé	53	42	11	54	43	11
2009	Afrique	MDG	Malgache	170	98	72	357	280	77
2009	Afrique	MLI	Malien	313	217	96	146	53	93
2009	Afrique	MAR	Marocain	3822	3039	783	2515	1638	877
2009	Afrique	MRT	Mauritanien	83	62	21	33	13	20
2009	Afrique	NER	Nigérien	38	19	19	31	15	16
2009	Afrique	EGY	Egyptien	243	167	76	28	6	22
2009	Afrique	SEN	Sénégalais	485	360	125	316	190	126
2009	Afrique	TCD	Tchadien	19	9	10	20	13	7
2009	Afrique	TGO	Togolais	94	61	33	80	53	27
2009	Afrique	TUN	Tunisien	2090	1784	306	529	295	234
2009	Afrique	COM	Comorien	111	90	21	94	74	20
2009	Afrique	SOM	Somalien	3	2	1	3	2	1
2009	Afrique	MUS	Mauricien	117	101	16	214	194	20
2009	Afrique	NGA	Nigérian	70	19	51	43	11	32
2009	Afrique	COD	Zaïrois	22	8	14	25	12	13
2009	Afrique	Afrique	Autres nationalités d'Afrique	314	128	186	344	141	203
2009	Amerique	CAN	Canadien	151	127	24	225	188	37
2009	Amerique	USA	Américain	198	169	29	370	321	49
2009	Amerique	HTI	Haïtien	429	210	219	426	203	223
2009	Amerique	MEX	Mexicain	63	61	2	175	171	4
2009	Amerique	ARG	Argentin	44	39	5	78	67	11
2009	Amerique	BRA	Brésilien	227	157	70	768	606	162
2009	Amerique	CHL	Chilien	43	36	7	70	60	10
2009	Amerique	COL	Colombien	97	50	47	214	163	51
2009	Amerique	VEN	Vénézuélien	19	13	6	78	67	11
2009	Amerique	Amerique	Autres nationalités d'Amérique	198	137	61	429	345	84
2009	Asie	ARM	Arménien	103	19	84	136	49	87
2009	Asie	KHM	Cambodgien	78	33	45	179	148	31
2009	Asie	CHN	Chinois	558	73	485	1334	808	526
2009	Asie	IND	Indien	106	87	19	41	29	12
2009	Asie	IRN	Iranien	28	12	16	63	49	14
2009	Asie	ISR	Israëlien	24	23	1	23	22	1
2009	Asie	JPN	Japonais	26	16	10	350	334	16
2009	Asie	LAO	Laotien	39	16	23	79	59	20
2009	Asie	LBN	Libanais	135	80	55	144	108	36
2009	Asie	SYR	Syrien	57	41	16	30	19	11
2009	Asie	TUR	Turc	1155	658	497	625	172	453
2009	Asie	VNM	Vietnamien	103	32	71	292	221	71
2009	Asie	IRQ	Irakien	11	5	6	11	3	8
2009	Asie	PAK	Pakistanais	105	73	32	27	10	17
2009	Asie	Asie	Autres nationalités d'Asie (sauf Russes)	506	180	326	1141	813	328
2009	Asie	RUS	Russe	121	32	89	1016	885	131
2009	Oceanie	AUS	Australien	84	71	13	59	47	12
2009	Oceanie	Oceanie	Autres nationalités d'Océanie	20	17	3	17	13	4
2009	Autres	???	Nationalité étrangère inconnue	12	9	3	9	5	4
2010	Europe	DEU	Allemand	388	274	114	487	349	138
2010	Europe	AUT	Autrichien	20	16	4	28	21	7
2010	Europe	BEL	Belge	558	407	151	581	433	148
2010	Europe	BGR	Bulgare	37	15	22	108	79	29
2010	Europe	CYP	Chypriote	6	2	4	4	2	2
2010	Europe	DNK	Danois	14	11	3	27	20	7
2010	Europe	ESP	Espagnol	362	289	73	298	240	58
2010	Europe	EST	Estonien	2	2	0	15	13	2
2010	Europe	FIN	Finlandais	6	2	4	20	19	1
2010	Europe	GRC	Grec	26	21	5	26	24	2
2010	Europe	HUN	Hongrois	19	13	6	36	30	6
2010	Europe	IRL	Irlandais	61	52	9	61	50	11
2010	Europe	ITA	Italien	557	442	115	352	272	80
2010	Europe	LVA	Letton	2	1	1	21	16	5
2010	Europe	LTU	Lituanien	9	2	7	20	16	4
2010	Europe	LUX	Luxembourgeois	17	13	4	19	16	3
2010	Europe	MLT	Maltais	0	0	0	1	1	0
2010	Europe	NOR	Norvégien	11	10	1	13	11	2
2010	Europe	NLD	Néerlandais Hollandais	173	100	73	186	84	102
2010	Europe	POL	Polonais	88	44	44	413	323	90
2010	Europe	PRT	Portugais	1317	949	368	816	515	301
2010	Europe	ROU	Roumain	230	72	158	531	345	186
2010	Europe	GBR	Britannique	755	449	306	565	291	274
2010	Europe	SVK	Slovaque	7	6	1	29	26	3
2010	Europe	SVN	Slovène	3	1	2	6	1	5
2010	Europe	SWE	Suédois	32	24	8	47	40	7
